b,fold,h,zero_frac,base,+thermal,+holiday,hol_n,+both
Eagle_health_Vincenza,fold1,12,0.42777777777777776,0.5479595495189304,0.5455623529061581,0.5572740352752581,24,0.55869745222632
Eagle_health_Vincenza,fold1,18,0.42777777777777776,0.5495582163698185,0.5347207266008341,0.5395752554115322,24,0.5367009346238215
Eagle_health_Vincenza,fold1,24,0.42777777777777776,0.5312988378731012,0.5380393275143533,0.5223157603906219,24,0.5336146583019133
Eagle_health_Vincenza,fold2,1,0.425,0.2220608943965638,0.22976925336829374,0.22523041436810257,0,0.22445981137504206
Eagle_health_Vincenza,fold2,6,0.425,0.39592030734590195,0.38437401956930445,0.3928860466305778,0,0.3770689077844541
Eagle_health_Vincenza,fold2,12,0.425,0.39164760886111577,0.41494394911034815,0.403986867955741,0,0.4163676152637722
Eagle_health_Vincenza,fold2,18,0.425,0.4131339430122366,0.4009212284646407,0.40124826729597973,0,0.39977468579617254
Eagle_health_Vincenza,fold2,24,0.425,0.4336365088233834,0.4166037038426759,0.4327098781247982,0,0.43800635835067486
Eagle_health_Vincenza,fold3,1,0.2902777777777778,0.23573608427136652,0.2359581529572469,0.2363681573218087,0,0.23451635284924666
Eagle_health_Vincenza,fold3,6,0.2902777777777778,0.42268679031504436,0.41004971175835225,0.4252467960200833,0,0.42173642088461477
Eagle_health_Vincenza,fold3,12,0.2902777777777778,0.4741599040389813,0.47504229445704393,0.47717589538518673,0,0.47616954670834033
Eagle_health_Vincenza,fold3,18,0.2902777777777778,0.4625036531223183,0.4778534924153712,0.48140959561892027,0,0.4678835789394538
Eagle_health_Vincenza,fold3,24,0.2902777777777778,0.45915714209336117,0.4685703099513695,0.463389200935851,0,0.4598571609311621
Fox_education_Theodore,fold0,1,0.0,0.5045187057616259,0.4903841736779641,0.5727500408647579,48,0.4758458484365812
Fox_education_Theodore,fold0,6,0.0,2.1048487049115163,2.219470335336863,2.405173608586836,48,2.0619288638506355
Fox_education_Theodore,fold0,12,0.0,2.34289267220625,2.6813877904915957,2.616982195472802,48,2.66750923796552
Fox_education_Theodore,fold0,18,0.0,2.493176910877532,2.732763057168896,2.561156038811635,48,2.6688314839248624
Fox_education_Theodore,fold0,24,0.0,1.6766313829289705,1.59449655276757,2.0749901708842353,48,1.9391505557491018
Fox_education_Theodore,fold1,1,0.001388888888888889,0.22382937257579116,0.22690734707647545,0.22232547000544792,24,0.22964514524061364
Fox_education_Theodore,fold1,6,0.001388888888888889,0.4006288874835179,0.3679527752924552,0.3795199855033153,24,0.3296718383877362
Fox_education_Theodore,fold1,12,0.001388888888888889,0.35127013557564973,0.33598465092853896,0.3344389427357414,24,0.33976047254139197
Fox_education_Theodore,fold1,18,0.001388888888888889,0.3838565179293585,0.37834980048731287,0.3821169909735893,24,0.430841688727661
Fox_education_Theodore,fold1,24,0.001388888888888889,0.424098618780252,0.4330157320419055,0.4201839063467486,24,0.43938272895438274
Fox_education_Theodore,fold2,1,0.0,0.22952798209843642,0.22801175352450262,0.23250935655798316,0,0.23220064138693702
Fox_education_Theodore,fold2,6,0.0,0.3975674094103523,0.3887467019717332,0.3862479744380733,0,0.39535289508266785
